,index,Fluor_654,Fluor_685,Fluor_755,Fluor_771,mean,mode,mean/mode,stdev,stdevdiff,edgejump,hardedge,obsid,pno,name,ra,dec,lii,bii,time,end_time,duration,scheduled_duration,estimated_exposure,pi_title,pi_fname,pi_lname,sas_version,pps_flag,pps_version,odf_date,process_date,distribution_date,public_date,xmm_revolution,process_status,mos1_num,mos1_time,mos1_mode,mos2_num,mos2_time,mos2_mode,pn_num,pn_time,pn_mode,rgs1_num,rgs1_time,rgs1_mode,rgs2_num,rgs2_time,rgs2_mode,om_num,om_time,om_mode,data_in_heasarc,subject_category,status,class,lii_180
25,2165,False,False,False,False,0.0014867432547252175,0.0007859549368731678,1.8916393103147315,0.00039573227169088337,0.00017809262740243028,0.0005329470999401262,0.0002841674425751585,760646401,76064.0,GX 339-4,255.7056,-48.78966,338.9391457,-4.32632259,57272.70725694444,57272.9815625,23700.0,20433.0,20433.0,Dr,pierre-olivier,petrucci,17.56,Y,17.56_20190403_1200,57279.70734953704,58580.564629629625,57293.0,57681.0,2884.0,delivered,1.0,22166.0,FU-TN (1),1.0,22064.0,FU-TN (1),1.0,20442.0,TI-TN (1),1.0,22613.0,SES (1),1.0,22609.0,SES (1),5.0,18895.0,IF-W1 (5),Y,"White Dwarf Binaries, Neutron Star Binaries, Cataclysmic Variables, ULXs and Black Holes",archived,9999.0,-21.060854300000017
26,2169,False,False,False,False,0.014463744668678924,0.008042330853641033,1.7984518334172612,0.0038507773938277656,0.0009383533262359736,0.004972661574978915,0.004004579262662938,148220301,14822.0,GX 339-4,255.7059,-48.78955,338.93935376,-4.3264127,52718.06709490741,52718.25541666666,16271.0,14985.0,12534.0,Dr,Michael,Nowak,17.56,Y,17.56_20190403_1200,55501.410150462965,58578.51922453704,53045.0,53411.0,600.0,delivered,1.0,15770.0,FU-ME (1),1.0,15769.0,FU-ME (1),1.0,15022.0,TI-ME (1),1.0,16223.0,SES (1),1.0,16223.0,SES (1),2.0,6814.0,IM-V (1); IM-W1 (1),Y,"White Dwarf Binaries, Neutron Star Binaries, Cataclysmic Variables, ULXs and Black Holes",archived,1430.0,-21.060646239999983
27,2476,False,False,False,False,0.00986527539994363,0.006952730473130941,1.4189066350361654,0.001824823563996242,0.0003023281147212947,0.0018323756434913546,0.0011916982300663997,693490201,69349.0,4U1735-444,264.73695,-44.45,346.05205832,-6.990240299999999,56383.269421296296,56384.253217592595,85000.0,81733.0,81733.0,Mr,Ciro,Pinto,17.56,Y,17.56_20190403_1200,56388.96798611112,58578.78353009259,56397.0,56899.0,2438.0,delivered,0.0,,,0.0,,,1.0,81745.0,TI-TN (1),1.0,83918.0,SES (1),1.0,83909.0,SES (1),15.0,74999.0,IM-W2 (10); IM-W1 (5),Y,,archived,9999.0,-13.947941679999985
28,2477,False,False,False,False,0.013910465310890597,0.008961357176303864,1.5522721656127545,0.002422560614190092,0.0006631187422580814,0.0025319717559249,0.0017924186925340549,90340201,9034.0,U1735-44,264.7428,-44.44994,346.0543112700001,-6.99376773,52155.126712962956,52155.37868055556,21770.0,19535.0,19535.0,Dr,Saeqa,Vrtilek,17.56,Y,17.56_20190403_1200,55536.229803240734,58578.14587962962,52303.0,52668.0,318.0,delivered,1.0,21266.0,SW2-TK (1),1.0,21264.0,SW2-TK (1),1.0,19568.0,TI-TN (1),1.0,21767.0,SES (1),1.0,21770.0,SES (1),15.0,15096.0,IM-B (5); IM-U (5); IM-W2 (5),Y,"White Dwarf Binaries, Neutron Star Binaries, Cataclysmic Variables, ULXs and Black Holes",archived,1400.0,-13.945688729999915
29,2858,False,False,False,False,0.017176054423204162,0.007649230305105448,2.245461796560116,0.006871826776461136,0.001034045715257688,0.006679350053273955,0.004127780269513905,112921401,11292.0,GRO J1655-40,253.5,-39.84583,344.98159564,2.45629181,53443.67875,53443.859502314815,15617.0,14904.0,14904.0,Dr,Michael,Watson,17.56,Y,17.56_20190403_1200,55470.23672453704,58581.38489583333,53479.0,53847.0,964.0,delivered,0.0,,,0.0,,,1.0,14902.0,BU-TN (1),1.0,15613.0,SES (1),1.0,15609.0,SES (1),5.0,13702.0,IM-W2 (5),Y,"White Dwarf Binaries, Neutron Star Binaries, Cataclysmic Variables, ULXs and Black Holes",archived,1000.0,-15.018404359999977
30,2859,False,False,False,False,0.017248434408639487,0.007537296507507563,2.288411287980922,0.006922149809666111,0.0010454330718445677,0.007294596177441173,0.003999954779252779,112921501,11292.0,GRO J1655-40,253.5,-39.84583,344.98159564,2.45629181,53444.67876157408,53444.85952546296,15618.0,14956.0,14956.0,Dr,Michael,Watson,17.56,Y,17.56_20190403_1200,55470.396527777775,58581.31579861111,53479.0,53847.0,964.0,delivered,0.0,,,0.0,,,1.0,14903.0,BU-TN (1),1.0,15617.0,SES (1),1.0,15610.0,SES (1),5.0,11894.0,IM-W2 (5),Y,"White Dwarf Binaries, Neutron Star Binaries, Cataclysmic Variables, ULXs and Black Holes",archived,1000.0,-15.018404359999977
31,2860,False,False,False,False,0.01855147214463124,0.008380739949643612,2.213584033879984,0.007369757160369729,0.0009114518183877447,0.00780936021113135,0.004424773811560499,112921601,11292.0,GRO J1655-40,253.5,-39.84583,344.98159564,2.45629181,53445.6697337963,53445.85042824073,15612.0,14486.0,14486.0,Dr,Michael,Watson,17.56,Y,17.56_20190403_1200,55467.430046296286,58581.39931712963,53482.0,53847.0,965.0,delivered,0.0,,,0.0,,,1.0,14903.0,BU-TN (1),1.0,15612.0,SES (1),1.0,15608.0,SES (1),5.0,13698.0,IM-W2 (5),Y,"White Dwarf Binaries, Neutron Star Binaries, Cataclysmic Variables, ULXs and Black Holes",archived,1000.0,-15.018404359999977
32,2861,False,False,False,False,0.02052763206781922,0.008836399763822556,2.323076435706563,0.007973696368648203,0.0020654705920163307,0.008071637156102679,0.003416666486578429,155762501,15576.0,GRO J1655-40,253.5,-39.84583,344.98159564,2.45629181,53447.657789351855,53447.93453703704,23911.0,22786.0,22786.0,Dr,Arvind,Parmar,17.56,Y,17.56_20190403_1200,55468.639502314814,58579.231932870374,54084.0,54449.0,966.0,delivered,0.0,,,0.0,,,1.0,23203.0,BU-TN (1),16.0,22844.0,SPE (16),1.0,23911.0,SPE (1),5.0,22001.0,IF-W2 (5),Y,"White Dwarf Binaries, Neutron Star Binaries, Cataclysmic Variables, ULXs and Black Holes",archived,1430.0,-15.018404359999977
33,2862,False,False,False,False,0.01764657672822148,0.008521897718310356,2.0707332229892432,0.0067730776390674905,0.00215934055831385,0.005937011419296145,0.005236094468574799,155762601,15576.0,GRO J1655-40,253.5,-39.84583,344.98159564,2.45629181,53456.363877314805,53456.62238425926,22335.0,21605.0,21605.0,Dr,Arvind,Parmar,17.56,Y,17.56_20190403_1200,55467.763819444444,58579.33076388889,53482.0,54449.0,970.0,delivered,0.0,,,0.0,,,1.0,21602.0,BU-TN (1),16.0,21664.0,SPE (16),1.0,22335.0,SPE (1),5.0,20400.0,IF-W2 (5),Y,"White Dwarf Binaries, Neutron Star Binaries, Cataclysmic Variables, ULXs and Black Holes",archived,1430.0,-15.018404359999977
34,3073,False,False,False,False,0.01500045446740402,0.013002046383917332,1.153699504253314,0.0008098100500858397,0.0004000942022769081,0.0015410767157089719,0.001054169634800468,724490201,72449.0,SAX J1808.4-3658,272.1147,-36.97897,355.38498236,-8.148218529999998,57123.12626157407,57124.38783564815,109000.0,105733.0,81193.0,Dr,Tiziana,Di Salvo,17.56,Y,17.56_20190403_1200,57146.560706018514,58577.43475694444,57149.0,57513.0,2809.0,delivered,0.0,,,0.0,,,1.0,105739.0,TI-TK (1),1.0,107913.0,SES (1),1.0,107910.0,SES (1),18.0,63299.0,IF-W1 (18),Y,,archived,9999.0,-4.615017640000019
35,3074,False,False,False,False,0.024389847396658018,0.019673310220241547,1.2397429371882573,0.0016226062506739026,0.0006535039028240273,0.0018206102200204605,0.0015725214638635937,560180601,56018.0,SAX J1808.4-3658,272.115,-36.97872,355.38531894,-8.14831302,54739.98138888889,54740.721192129626,63919.0,62636.0,62636.0,Dr,NORBERT,SCHARTEL (PS),17.56,Y,17.56_20190403_1200,56460.56844907408,58576.52069444444,56463.0,54980.0,1614.0,delivered,1.0,39505.0,SW2-TN (1),1.0,63441.0,FU-TN (1),1.0,62657.0,TI-TN (1),1.0,63917.0,SES (1),1.0,63911.0,SES (1),25.0,53492.0,IF-W1 (5); IF-V (5); IF-U (5); IF-B (5); IF-M2 (5),Y,,archived,9999.0,-4.614681060000009
