# Sum spectrum combining XMM spectra:
# Source Name    ,        obsid,           ra,          dec,          lii,          bii, start time mjd,   end time mjd
# CYGNUS X-1     ,    202760201,       299.59,      35.2016,       71.335,       3.0668,   53323.920787,   53324.139699
# CYGNUS X-1     ,    202760301,       299.59,      35.2016,       71.335,       3.0668,   53329.905278,   53330.124144
# CYGNUS X-1     ,    202760401,       299.59,      35.2016,       71.335,       3.0668,   53335.889687,   53336.135162
# CYGNUS X-1     ,    202760501,       299.59,      35.2016,       71.335,       3.0668,   53341.874225,   53342.004028
# Cyg X-1        ,    605610401,       299.59,      35.2016,       71.335,       3.0668,   55167.155752,   55167.537014
# Cyg X-1        ,    745250701,       299.59,      35.2016,      71.3349,       3.0669,   57541.912604,   57543.482049
# CYGNUS X-1     ,    202401101,       299.59,      35.2016,       71.335,      3.06681,   53284.035451,   53284.246343
# CYGNUS X-1     ,    202401201,       299.59,      35.2016,       71.335,      3.06681,   53286.029919,   53286.241019
# Cygnus X-1     ,    500880201,       299.59,      35.2016,       71.335,      3.06681,   54574.496273,   54575.184213
# Cygnus X-1     ,    610000401,       299.59,      35.2016,       71.335,      3.06681,   54967.981169,   54968.269838
# Cyg X-1        ,    745250201,       299.59,      35.2016,      71.3349,      3.06692,   57535.930486,   57537.624931
# Cyg X-1        ,    745250501,       299.59,      35.2016,      71.3349,      3.06692,   57537.924792,   57539.600718
# Cyg X-1        ,    745250601,       299.59,      35.2016,      71.3349,      3.06692,   57539.916574,   57541.599456
#
Total observation time: 761607.0 seconds
#
#                  eV,             Angstrom, flux in 1/(s cm^2 A), error in 1/(s cm^2 A)
           778.110901,            15.934000,             0.667635,              0.000000
           776.356934,            15.970000,             0.658723,              0.000000
           774.610718,            16.006001,             0.639480,              0.000000
           772.872437,            16.042000,             0.630329,              0.000000
           771.141968,            16.077999,             0.629377,              0.000000
           769.419128,            16.114000,             0.615044,              0.000000
           767.704041,            16.150000,             0.605587,              0.000000
           765.996460,            16.186001,             0.603509,              0.000000
           764.296631,            16.222000,             0.601019,              0.000000
           762.604309,            16.257999,             0.586301,              0.000000
           760.919373,            16.294001,             0.578746,              0.000000
           759.241882,            16.330000,             0.572927,              0.000000
           757.571838,            16.365999,             0.563477,              0.000000
           755.908997,            16.402000,             0.559893,              0.000000
           754.253540,            16.438000,             0.565909,              0.000000
           752.605286,            16.474001,             0.548419,              0.000000
           750.964294,            16.510000,             0.543896,              0.000000
           749.330383,            16.546000,             0.534683,              0.000000
           747.703491,            16.582001,             0.514951,              0.000000
           746.083740,            16.618000,             0.530233,              0.000000
           744.470947,            16.653999,             0.526540,              0.000000
           742.865112,            16.690001,             0.524190,              0.000000
           741.266296,            16.726000,             0.515160,              0.000000
           739.674316,            16.761999,             0.514979,              0.000000
           738.088989,            16.798000,             0.504717,              0.000000
           736.510620,            16.834000,             0.500100,              0.000000
           734.938904,            16.870001,             0.475585,              0.000000
           733.373962,            16.906000,             0.486348,              0.000000
           731.815613,            16.941999,             0.474098,              0.000000
           730.263855,            16.978001,             0.469273,              0.000000
           728.718628,            17.014000,             0.456600,              0.000000
           727.180054,            17.049999,             0.433006,              0.000000
           725.647888,            17.086000,             0.413160,              0.000000
           724.122192,            17.122000,             0.397573,              0.000000
           722.602783,            17.158001,             0.384100,              0.000000
           721.089905,            17.194000,             0.390134,              0.000000
           719.583313,            17.230000,             0.409664,              0.000000
           718.082947,            17.266001,             0.420042,              0.000000
           716.588806,            17.302000,             0.415828,              0.000000
           715.100952,            17.337999,             0.392830,              0.000000
           713.619141,            17.374001,             0.375828,              0.000000
           712.143555,            17.410000,             0.352736,              0.000000
           710.674072,            17.445999,             0.326864,              0.000000
