,BIN_LO,BIN_HI,COUNTS,ERR,A,eV
3528,0.509803,0.509908,0.9155479999999999,0.5139630000000001,24.317516903594683,509.8555
3529,0.509908,0.510013,0.914508,0.511389,24.312509968204825,509.9605
3530,0.510013,0.5101180000000001,0.5715680000000001,0.443146,24.307505094229498,510.06550000000004
3531,0.5101180000000001,0.510223,0.342746,0.403321,24.302502280395903,510.17050000000006
3532,0.510223,0.510328,0.0,0.30132600000000004,24.297501525432278,510.27549999999997
3533,0.510328,0.510433,0.22836700000000001,0.370854,24.292502828067917,510.38050000000004
3534,0.510433,0.510538,0.570271,0.442141,24.28750618703316,510.48550000000006
3535,0.510538,0.5106430000000001,0.342357,0.402864,24.28251160105939,510.5905000000001
3536,0.5106430000000001,0.510748,0.455959,0.426796,24.27751906887904,510.6955
3537,0.510748,0.510854,0.569948,0.451514,24.272504829944964,510.80100000000004
3538,0.510854,0.510959,0.5696260000000001,0.451259,24.267492661848532,510.90650000000005
3539,0.510959,0.5110640000000001,0.797025,0.49279300000000004,24.2625063029711,511.01150000000007
3540,0.5110640000000001,0.51117,0.22759200000000002,0.369596,24.257498262904022,511.117
3541,0.51117,0.511275,0.5689810000000001,0.450748,24.252492289836066,511.2225
3542,0.511275,0.5113800000000001,0.113732,0.338872,24.247512092818628,511.32750000000004
3543,0.5113800000000001,0.511486,0.909341,0.510478,24.242510240130606,511.43300000000005
3544,0.511486,0.511591,0.568338,0.45023900000000006,24.237510450612646,511.5385
3545,0.511591,0.5116970000000001,0.34081,0.395253,24.232512722988478,511.644
3546,0.5116970000000001,0.511803,0.454157,0.418573,24.22749338474004,511.75000000000006
3547,0.511803,0.511908,0.453901,0.42660200000000004,24.222499786835776,511.8555
3548,0.511908,0.5120140000000001,0.226951,0.368553,24.217508246996772,511.9610000000001
3549,0.5120140000000001,0.51212,0.45364499999999996,0.426361,24.212495122006924,512.067
3550,0.51212,0.5122260000000001,0.680085,0.46975,24.20748407206299,512.173
3551,0.5122260000000001,0.5123310000000001,1.01955,0.527161,24.202498718257186,512.2785000000001
3552,0.5123310000000001,0.512437,0.792986,0.48873,24.19751541742271,512.384
3553,0.512437,0.5125430000000001,0.679319,0.469221,24.19251056535877,512.4900000000001
3554,0.5125430000000001,0.512649,0.11315599999999999,0.337156,24.187507783206883,512.596
3555,0.512649,0.5127550000000001,0.22631199999999999,0.367517,24.1825070696832,512.702
3556,0.5127550000000001,0.512861,1.01783,0.5262720000000001,24.177508423504932,512.808
3557,0.512861,0.5129670000000001,0.45211599999999996,0.423199,24.172511843390343,512.9140000000001
3558,0.5129670000000001,0.513073,0.451862,0.42468500000000003,24.167517328058786,513.02
3559,0.513073,0.51318,0.33870700000000004,0.398568,24.162501331817236,513.1265000000001
3560,0.51318,0.513286,0.677413,0.464707,24.157487417295293,513.2330000000001
3561,0.513286,0.513392,0.789872,0.486811,24.152499108076178,513.3389999999999
3562,0.513392,0.513498,0.22567800000000002,0.36648600000000003,24.147512858515945,513.4449999999999
3563,0.513498,0.513605,0.33813699999999997,0.39215300000000003,24.142505161879033,513.5514999999999
3564,0.513605,0.5137109999999999,0.33813699999999997,0.397899,24.137499541797695,513.6579999999999
3565,0.5137109999999999,0.513818,0.9011950000000001,0.505905,24.132495996980555,513.7645
3566,0.513818,0.5139239999999999,0.112649,0.335646,24.127494526137333,513.871
3567,0.5139239999999999,0.514031,0.22504699999999997,0.36964400000000003,24.12249512797879,513.9775
3568,0.514031,0.514137,0.67514,0.46729,24.117497801216764,514.084
3569,0.514137,0.5142439999999999,0.787223,0.48673299999999997,24.11250254456416,514.1905
3570,0.5142439999999999,0.51435,0.337381,0.397009,24.107509356734955,514.297
3571,0.51435,0.5144569999999999,0.561674,0.44496,24.10251823644419,514.4035
3572,0.5144569999999999,0.514564,0.7863439999999999,0.484637,24.097505764490165,514.5105
3573,0.514564,0.514671,1.01101,0.522746,24.092495376936693,514.6175
3574,0.514671,0.514778,0.561048,0.444463,24.087487072483857,514.7245
3575,0.514778,0.514884,0.336629,0.396123,24.082504238557345,514.831
3576,0.514884,0.514991,0.560735,0.444216,24.07752346574238,514.9375
3577,0.514991,0.515098,0.672507,0.464516,24.072521383377012,515.0444999999999
3578,0.515098,0.515205,0.896177,0.501138,24.067521378935552,515.1514999999999
3579,0.515205,0.515312,0.896177,0.503088,24.062523451123496,515.2585
3580,0.515312,0.51542,0.5597989999999999,0.440852,24.05750425841192,515.366
3581,0.51542,0.5155270000000001,0.0,0.29529299999999997,24.0524871591667,515.4735000000001
3582,0.5155270000000001,0.515634,0.783283,0.48275,24.0474954728519,515.5805
3583,0.515634,0.515741,0.223546,0.36718,24.042505857987084,515.6875000000001
3584,0.515741,0.515849,0.558866,0.44273500000000005,24.037495011856876,515.795
3585,0.515849,0.5159560000000001,0.447093,0.418497,24.032486253973797,515.9025
3586,0.5159560000000001,0.516063,0.446597,0.41803199999999996,24.02750286504554,516.0095
3587,0.516063,0.516171,0.558246,0.44224300000000005,24.022498270044807,516.1170000000001
3588,0.516171,0.516278,0.557936,0.439385,24.01749575938514,516.2245
3589,0.516278,0.516386,1.11525,0.535497,24.012495331764672,516.332
3590,0.516386,0.516493,0.22305100000000003,0.36222,24.007496985882607,516.4395
3591,0.516493,0.516601,0.334206,0.39327199999999995,24.00250072043922,516.547
3592,0.516601,0.516708,0.334206,0.38759299999999997,23.997506534135905,516.6545
3593,0.516708,0.5168159999999999,0.22268000000000002,0.361619,23.992514425675104,516.762
3594,0.5168159999999999,0.5169239999999999,0.556701,0.438413,23.98750118915921,516.8699999999999
3595,0.5169239999999999,0.5170319999999999,0.222557,0.365555,23.98249004723744,516.978
3596,0.5170319999999999,0.517139,0.44486800000000004,0.418112,23.97750418381625,517.0855
3597,0.517139,0.517247,1.0004,0.5162359999999999,23.97252039304615,517.193
3598,0.517247,0.517355,0.333283,0.39218600000000003,23.967515507684535,517.301
3599,0.517355,0.517463,0.333283,0.386522,23.962512711685957,517.409
3600,0.517463,0.517571,0.5551649999999999,0.43720299999999995,23.957512003742323,517.517
3601,0.517571,0.517679,0.66583,0.459904,23.952513382546666,517.625
3602,0.517679,0.517787,0.665463,0.45965100000000003,23.947516846793075,517.733
3603,0.517787,0.517896,0.110911,0.330465,23.942499277560245,517.8415000000001
3604,0.517896,0.518004,0.22169899999999998,0.360025,23.93748381048502,517.95
3605,0.518004,0.518112,0.332365,0.38545799999999997,23.932493542500485,518.058
3606,0.518112,0.51822,0.553942,0.438834,23.927505354733263,518.166
3607,0.51822,0.518329,0.663999,0.455505,23.9224961668782,518.2745
3608,0.518329,0.518437,0.774666,0.478969,23.917489075916297,518.383
3609,0.518437,0.518545,0.6636340000000001,0.455255,23.912507140221756,518.491
3610,0.518545,0.518654,0.553028,0.43551999999999996,23.90750422945012,518.5995
3611,0.518654,0.518762,0.11048399999999998,0.32919499999999996,23.902503411631823,518.708
3612,0.518762,0.518871,0.994358,0.513117,23.897504685453754,518.8165
3613,0.518871,0.518979,0.331271,0.384189,23.89250804960393,518.925
3614,0.518979,0.519088,0.8829040000000001,0.495637,23.88751350277144,519.0334999999999
3615,0.519088,0.519197,0.6621779999999999,0.45425600000000005,23.882498041752925,519.1425
3616,0.519197,0.519305,0.22060500000000002,0.362348,23.877507678638494,519.251
3617,0.519305,0.519414,0.330726,0.389178,23.872519400609242,519.3595
3618,0.519414,0.519523,0.550908,0.436431,23.867510233326406,519.4685
3619,0.519523,0.519632,0.330364,0.38313800000000003,23.862503167748255,519.5775
3620,0.519632,0.519741,0.550607,0.433613,23.85749820255235,519.6864999999999
3621,0.519741,0.51985,0.660367,0.45613000000000004,23.852495336417334,519.7955000000001
3622,0.51985,0.5199590000000001,0.550005,0.43571499999999996,23.847494568023006,519.9045
3623,0.5199590000000001,0.520068,0.550005,0.43313900000000005,23.842495896050234,520.0135
3624,0.520068,0.520177,0.329642,0.387902,23.837499319180992,520.1225000000001
3625,0.520177,0.5202859999999999,0.988927,0.5113260000000001,23.832504836098387,520.2315
3626,0.5202859999999999,0.5203949999999999,0.439283,0.41118699999999997,23.8275124454866,520.3404999999999
3627,0.5203949999999999,0.520505,0.329462,0.38769000000000003,23.822499259565223,520.4499999999999
3628,0.520505,0.520614,0.548505,0.43452700000000005,23.81748818269711,520.5595000000001
3629,0.520614,0.5207229999999999,0.32910300000000003,0.387268,23.812502080768702,520.6685
3630,0.5207229999999999,0.520833,0.657848,0.444395,23.807495208401114,520.778
3631,0.520833,0.520942,0.657489,0.454143,23.802490441104307,520.8874999999999
